Stock Symbol,Current Price,Year Target Price,Year High,Year Low
ADPT,-1,6.10,73.44,6.05
AGO-E,-1,-1,-1,-1
AUO,-1,14.77,4.42,2.45
ANH-A,-1,-1,-1,-1
ANH-C,-1,-1,-1,-1
ANTX,-1,-1,50.14,41.00
AGR,36.66,20.49,46.74,35.42
ADX,12.11,-1,13.52,11.49
AOD,-1,-1,8.33,6.76
AV,-1,-1,15.59,9.11
AGU,-1,20.22,111.88,80.45
AED,-1,-1,26.68,24.26
AON,-1,17.68,117.76,92.88
AVAL,-1,11.41,9.04,6.26
AHC,-1,28.86,7.95,4.75
AEG,-1,15.67,6.09,3.36
AP,-1,-1,19.22,9.34
AVD,-1,39.88,20.00,12.27
AHL,-1,13.09,57.80,41.73
AEK,-1,-1,28.38,25.67
APAM,-1,14.54,35.00,24.48
AVH,-1,12.06,10.91,4.20
AHL-B,-1,-1,-1,-1
AEM,-1,82.69,60.10,32.87
APC,-1,156.93,73.33,33.85
AVP,-1,48.75,6.96,3.36
AHP,-1,28.40,17.64,9.66
AEP,-1,17.24,71.32,57.89
APF,-1,-1,15.34,12.15
AHS,-1,-1,44.99,21.24
AVV,-1,-1,26.95,25.06
APLE,-1,27.66,20.68,17.32
AES,-1,11.64,13.32,9.32
AHT-A,-1,-1,-1,-1
AVY,-1,17.9368,80.8400,62.5700
AET,-1,14.61,136.50,102.52
APTS,-1,-1,15.39,11.16
AFT,17.01,-1,18.00,13.75
AWH,-1,20.28,54.46,30.78
AF,-1,34.40,19.26,14.11
AR,-1,37.43,30.66,21.45
AG,-1,71.57,19.15,4.19
AWK,72.17,25.55,85.24,64.41
AFA,-1,-1,26.8900,24.1600
ARC,-1,16.96,5.55,3.06
AGCO,-1,25.552,64.900,43.790
AWR,-1,26.85,47.24,37.28
AFC,-1,-1,26.28,24.91
ARCX,14.70,18.93,17.40,9.50
AGI,-1,-1,10.41,3.86
AXL,-1,6.05,21.25,12.31
AFGE,-1,-1,28.28,24.43
ARE,114.70,56.92,115.46,73.64
AGM-A,-1,-1,65.96,29.23
AXON,-1,-1,17.66,9.92
AFI,17.50,33.80,22.24,11.77
ARE-D,-1,-1,-1,-1
AGM-C,-1,-1,-1,-1
AXR,-1,-1,8.14,3.71
AFS-A,-1,-1,-1,-1
ARES,-1,15.71,21.50,10.96
AGN,-1,15.51,301.32,184.50
AXS-C,-1,-1,-1,-1
AFS-C,-1,-1,-1,-1
AMG,-1,11.60,179.85,124.64
AGO,35.00,6.98,41.29,23.34
AXTA,-1,22.04,30.45,24.27
AFS-E,-1,-1,-1,-1
AMH-A,-1,-1,-1,-1
AJX,-1,6.95,14.48,9.06
AYR,-1,10.92,25.98,17.75
AFSS,-1,-1,26.8063,24.0500
AMH-C,-1,-1,-1,-1
AKO.B,-1,-1,-1,-1
AZO,-1,16.24,819.54,713.09
ABR-A,-1,-1,-1,-1
AMH-E,-1,-1,-1,-1
AKR,-1,44.86,38.01,30.90
ASG,-1,-1,4.50,3.63
ABR-C,-1,-1,-1,-1
AMP,-1,12.15,129.19,80.39
AL,-1,11.56,39.74,24.49
ASH,-1,27.32,125.00,89.58
ABT,-1,17.96,45.79,36.76
AMT,-1,51.25,118.26,83.75
ALDW,9.89,-1,14.97,7.63
ASR,-1,27.15,165.40,130.08
AC,-1,-1,37.75,27.10
AMT-B,-1,-1,-1,-1
ALEX,-1,46.12,46.43,31.83
AT,-1,-1,2.75,1.71
ACCO,-1,15.35,13.99,6.94
AMX,-1,17.32,15.95,11.02
ATHM,-1,20.81,35.29,19.32
ANET,-1,32.53,103.00,54.67
ATKR,-1,14.96,27.30,14.17
ACM,-1,13.17,40.72,25.46
ALJ,-1,-1,13.01,5.86
ALL-D,-1,-1,-1,-1
ALL,-1,12.88,80.29,62.78
ACP,-1,-1,14.60,9.48
ALL-F,-1,-1,-1,-1
ATR,-1,22.18,81.50,70.32
ALL-B,-1,-1,-1,-1
ACV,-1,-1,20.53,15.39
ALLY,-1,9.88,23.41,14.84
ATU,-1,-1,29.80,20.54
AHT-E,-1,-1,-1,-1
ADC,-1,25.959,51.330,35.790
ALR,-1,21.06,54.13,31.47
ATW,-1,-1,15.37,5.78
AIB,-1,-1,26.79,24.20
A,-1,24.23,51.84,34.75
ALSN,-1,24.99,38.17,21.58
ARI,-1,8.83,18.10,15.31
AIF,-1,-1,16.35,12.52
AA-B,-1,-1,-1,-1
ALX,-1,-1,451.99,364.01
ARL,-1,-1,9.85,3.91
AIG.W,-1,-1,-1,-1
AAN,-1,12.91,34.22,20.26
AMBR,-1,-1,12.30,3.99
AIR,-1,23.66,38.75,19.41
AROC,-1,265.83,16.35,3.41
AME,-1,22.16,54.11,43.28
AIV,-1,91.27,47.91,35.46
ARP-D,-1,-1,-1,-1
AAT,-1,45.84,46.38,35.49
AIV-Z,-1,-1,-1,-1
ARR,-1,8.03,23.40,18.38
AB,-1,12.755,25.000,18.100
AIY,-1,-1,27.41,24.52
ARR-B,-1,-1,-1,-1
AJG,-1,18.40,55.79,38.98
ABBV,-1,11.25,68.12,53.74
ARW,-1,10.50,74.67,55.19
ABEV,-1,25.39,6.34,4.33
ASB,-1,18.65,26.50,15.72
ABM,-1,21.73,45.03,30.16
ASB-C,-1,-1,-1,-1
